gauge_id,pilot_split,gauge_name,state,drain_sqkm_attr,original_split,obs_years_usable,processing_status,selected_threshold_quantile,selected_threshold_value,q99_event_count,event_count,annual_peak_years,unit_area_peak_median,unit_area_peak_p90,q99_event_frequency,rbi,rising_time_median_hours,event_duration_median_hours,annual_peak_unit_area_median,annual_peak_unit_area_p90,error_detail
08050100,train,"Mountain Ck at Grand Prairie, TX",TX,769.6179,train,17,ok,Q99,74.402392,63,63,18,0.1401825607226651,0.3406571134313733,3.7058823529411766,0.0710843623392303,9.0,20.0,0.23165996009188455,0.48061278200520036,
08050840,train,"Range Ck nr Collinsville, TX",TX,75.7062,train,32,ok,Q99,14.810677488000099,169,169,33,0.43014072823626076,1.3353064346116967,5.28125,0.14592428750990477,7.0,16.0,0.9594008416747902,2.456103558229049,
08064100,train,"Chambers Ck nr Rice, TX",TX,2135.638,train,17,ok,Q99,198.34856520000042,38,38,18,0.126509112499403,0.2672718391412777,2.235294117647059,0.027215291568915313,16.0,40.0,0.10849320718211607,0.30864046809431195,
08066170,train,"Kickapoo Ck nr Onalaska, TX",TX,149.1957,train,14,ok,Q99,24.6072992,99,99,17,0.4441234700463888,1.3956674944385128,7.071428571428571,0.14963695131947338,4.0,13.0,1.3655847722152852,3.047180475040501,
08082700,train,"Millers Ck nr Munday, TX",TX,276.0354,train,33,ok,Q99,6.1801416,65,65,34,0.048496559499252634,0.29041514530382706,1.9696969696969697,0.06912880066172578,15.0,42.0,0.03813558116096704,0.41423396564353704,
08083230,train,"Clear Fk Brazos Rv nr Noodle, TX",TX,3046.375,train,19,ok,Q99,9.636277832000149,50,50,20,0.005378460760740224,0.013564085314513155,2.6315789473684212,0.04862276190247896,10.0,24.5,0.005730518140412786,0.02077487111731157,
08091750,train,"Squaw Ck nr Glen Rose, TX",TX,181.9323,train,10,ok,Q99,5.1819744,19,19,12,0.06276372914540189,0.40786696150161333,1.9,0.036814098511442704,3.0,54.0,0.0628804626776004,0.5783757408662453,
08099500,train,"Leon Rv nr Hasse, TX",TX,3329.183,train,17,ok,Q99,62.5397765599995,9,9,18,0.026813999711040214,0.05481878767253108,0.5294117647058824,0.01086232677847435,11.0,60.0,0.004421864583593032,0.03347390828320342,
08104500,train,"Little Rv nr Little River, TX",TX,13646.63,train,17,ok,Q99,234.86237087999893,37,37,18,0.02137253226620785,0.03728780629356845,2.176470588235294,0.016351719350155072,6.0,17.0,0.016817900390059672,0.04671350802359264,
08123800,train,"Beals Ck nr Westbrook, TX",TX,25890.71,train,28,ok,Q99,8.742812,89,89,29,0.0006942292737433621,0.00272059128544563,3.1785714285714284,0.09070469493968966,11.0,25.0,0.0018510957791424028,0.005339468002229372,
