dataset_label,scope,attribute,count,mean,std,min,p10,p25,median,p75,p90,max
scaling_300,combined,snow_fraction,300,0.08237961737246981,0.11781354530113729,0.0,0.00300267233712627,0.0150027315209172,0.045017153866879794,0.07916437965597703,0.2313084563515711,0.663669281012404
scaling_300,combined,soil_depth,300,51.07823916666667,9.237977045664072,17.96,38.77311,44.650755000000004,53.675250000000005,59.0122375,59.902141,65.64315
scaling_300,train,area,269,3592.9550871003726,7684.682040504967,1.5048,51.111986,182.5785,704.7171,2736.869,10062.244800000017,49128.08
scaling_300,train,aridity,269,2.0878308099045415,1.2417811517222743,0.407039404350497,1.110964003574574,1.35133953859468,1.57034423385212,2.37780727381419,3.990300851245817,8.04612331095514
scaling_300,train,baseflow_index,269,39.62839533828997,17.058374566304273,8.171462,18.122702,24.68765,39.53799,51.67258,64.13002399999999,81.82423
scaling_300,train,forest_fraction,269,0.37329153494500744,0.30054490647962223,0.0,0.018452091200000003,0.0797441045999999,0.331941621,0.652258517,0.792491732,0.9763976
scaling_300,train,permeability,269,2.4051117821561334,2.199812073937757,0.3929265,0.6364072,1.061276,1.705668,2.954435,4.873800000000005,18.25317
scaling_300,train,slope,269,7.904207645576209,9.044707460734056,0.01102182,1.0217040400000001,2.164227,3.486477,10.57609,21.559838,58.75731
scaling_300,train,snow_fraction,269,0.082365556104884,0.11862180394861974,0.0,0.00319915710906828,0.0150444753824211,0.0452654352214886,0.0771866059613574,0.23576878322063605,0.663669281012404
scaling_300,train,soil_depth,269,50.96788390334572,9.43967071698626,17.96,38.675592,44.62135,53.61032,59.03433,59.891014000000006,65.64315
scaling_300,validation,area,31,4018.7571967741933,7405.725808307288,56.1951,154.4994,316.4823,925.4421,3200.277,9208.975,29858.28
scaling_300,validation,aridity,31,2.0833401459345273,1.1458007995785147,0.759607173583974,1.01606176766415,1.33952711232724,1.60718792965714,2.2377487178825,3.90469946375393,4.92835117341322
scaling_300,validation,baseflow_index,31,38.59390248387097,17.286870981579067,8.980883,11.63192,25.523699999999998,40.55575,51.26085,56.02973,74.11938
scaling_300,validation,forest_fraction,31,0.3998715288105484,0.31837392173617796,0.00811506632,0.030134378667,0.0856332046649999,0.351323657,0.686874365,0.8016209999999999,0.945100998
scaling_300,validation,permeability,31,2.596845774193549,2.0193027542968096,0.5040113,0.5894813,1.276524,2.161898,3.36149,4.423676,10.47578
scaling_300,validation,slope,31,8.721503680967741,8.222257544278243,0.03479121,1.112566,2.277114,3.763527,12.34412,23.53048,27.74875
scaling_300,validation,snow_fraction,31,0.08250163288797244,0.11055203331090373,0.0,0.0013257572821923,0.013702334576361599,0.0435560470308708,0.09492160407148405,0.201999010578568,0.48526080219041
scaling_300,validation,soil_depth,31,52.035838064516135,7.185283015431015,35.71332,41.43541,47.494805,53.74018,58.46772,59.93232,60.0
scaling_600,combined,area,600,3108.0636333,6570.74869095746,1.1826,56.85246000000001,196.673625,756.9279,2432.69675,8871.8327,46492.09
scaling_600,combined,aridity,600,2.0561200803513113,1.1446810908248128,0.439161773408652,1.117262428032723,1.3601780910326124,1.56407068449611,2.3960176035678753,3.8836652931868674,7.05391035388574
scaling_600,combined,baseflow_index,600,40.89409522333333,16.78497339262082,4.839204,19.142846,27.270472499999997,40.04391,52.603939999999994,64.17464,81.92142
scaling_600,combined,forest_fraction,600,0.39428940091667997,0.2867365202863621,0.0,0.022409141600000005,0.12327897965500001,0.37560722849999995,0.64523023,0.80242526,0.97149742
scaling_600,combined,permeability,600,2.607079796,2.0872907202168025,0.3973905,0.81560709,1.28684125,1.8955285,3.2893945,5.3163867,14.1455
scaling_600,combined,slope,600,8.327440753816667,9.05978833414375,0.00171426,1.086649,2.117656,4.371774,11.59785,21.953696,58.75731
scaling_600,combined,snow_fraction,600,0.08665150033039974,0.1260743950223648,0.0,0.00328724212519238,0.013646989006755376,0.0476316323137619,0.09177049803524462,0.2097101549537638,0.807728220966582
scaling_600,combined,soil_depth,600,50.633677600000006,9.159294171970144,17.96,38.078817,44.3809825,53.281655,58.7821975,59.986275,60.0
scaling_600,train,area,538,3097.42062802974,6520.056195999039,1.1826,59.368860000000005,197.15355,739.0035,2470.71575,8680.080700000002,46492.09
scaling_600,train,aridity,538,2.0491968985794586,1.1244805591755367,0.439161773408652,1.134487581153261,1.3604646350900975,1.560103612595815,2.3889611299722304,3.829671324953839,7.05391035388574
scaling_600,train,baseflow_index,538,41.26765750371747,16.773619295189764,4.839204,19.391707,28.005094999999997,40.25469,52.5950325,64.686352,81.92142
scaling_600,train,forest_fraction,538,0.40044720106722864,0.28788644667994284,0.0,0.024291959717,0.1296310375,0.382203505,0.6493787550000001,0.804904501,0.97149742
scaling_600,train,permeability,538,2.6038432016728628,2.0526449829905453,0.3973905,0.83682718,1.3227265000000001,1.9054805,3.27795375,5.255035400000001,14.1455
